pp_nr	feldnr	x	y
1	1	521014.823	4363310.561
2	1	521005.186	4363313.229
3	1	521007.853	4363322.866
4	1	521010.521	4363332.504
5	1	521015.379	4363331.141
6	1	521020.159	4363329.836
1	2	521004.002	4363365.537
2	2	521028.212	4363363.552
3	2	521027.286	4363353.498
4	2	521012.998	4363354.755
5	2	521011.345	4363334.514
6	2	521006.251	4363335.044
7	2	521007.045	4363344.965
8	2	521002.283	4363345.495
1	3	520955.327	4363373.656
2	3	520992.7	4363359.4
3	3	520981.177	4363331.702
4	3	520971.944	4363335.543
5	3	520975.785	4363344.776
7	3	520966.552	4363348.617
8	3	520962.711	4363339.384
9	3	520953.478	4363343.225
10	3	520957.319	4363352.458
11	3	520938.854	4363360.141
12	3	520935.013	4363350.908
13	3	520925.78	4363354.749
14	3	520933.462	4363373.215
15	3	520951.928	4363365.532
1	4	520953.377	4363271.987
2	4	520962.426	4363276.273
3	4	520970.839	4363258.215
4	4	520961.672	4363253.889
