Quelle: www.arqueobalear.es/inventario.php (2010)
Nr;Nombre_yac;Regio;Tipo;Tipo_yacim;Periodo;Descubrido;x_utm;y_utm;Calc;Pretal;Tal;Rom;Islam;perioden
4;Almedrà;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;485780;4401350;0;0;0;1;0;rom,
5;Almedrà, Putxet des Ullastres;Alaró;0;Restes indeterminades;Talaiòtic;J. Aramburu-Zabala;484950;4401075;0;0;1;0;0;tal,
6;Banyols, Es Ribellet;Alaró;0;indet.;Romà;J. Aramburu-Zabala;484050;4394400;0;0;0;1;0;rom,
7;Banyols, Puig de s'Apit;Alaró;200;Talaiot circular;Talaiòtic;.;482970;4393990;0;0;1;0;0;tal,
8;Ca'n Cabrit, S'Era Vella;Alaró;200;Talaiot quadrat;Talaiòtic;Mascaró, J.;484090;4393680;0;0;1;0;0;tal,
9;Ca'n Cabrit, S'Era Vella;Alaró;410;Centre cerimonial;Talaiòtic;Mascaró, J.;483400;4393900;0;0;1;0;0;tal,
10;Can Cladera, Es Pujol des Pla;Alaró;300;Túmul esglaonat;Talaiòtic;Mascaró, J.;483000;4397500;0;0;1;0;0;tal,
11;Can Jeroni, Es Gentils;Alaró;0;Restes indeterminades;Talaiòtic, romà;Mascaró, J.;487000;4396250;0;0;1;1;0;tal,rom,
12;Can Jeroni, Oest;Alaró;0;Restes indeterminades;Talaiòtic;Aramburu-Zabala, J.;486450;4396200;0;0;1;0;0;tal,
13;Es Picó;Alaró;0;Restes indeterminades;Talaiòtic;J. Aramburu-Zabala;482500;4392900;0;0;1;0;0;tal,
14;Es Puig;Alaró;200;Recinte amuradat;Talaiòtic ?;Mascaró, J.;483200;4393200;0;0;1;0;0;tal,
15;Es Puig, Balma sud;Alaró;100;Abric;Talaiòtic;J. Aramburu-Zabala;483250;4393100;0;0;1;0;0;tal,
16;Es Putxet;Alaró;200;Poblat;Tardoromà;J. Aramburu-Zabala;484100;4393500;0;0;0;1;0;rom,
17;Es Putxet;Alaró;0;Restes indeterminades;Talaiòtic;J. Aramburu-Zabala;483950;4393325;0;0;1;0;0;tal,
18;Es Putxet;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;483900;4393500;0;0;0;1;0;rom,
19;Es Rafal, Can Mayoles;Alaró;200;Poblat;Talaiòtic, romà;Mascaró, J.;484300;4396400;0;0;1;1;0;tal,rom,
20;Penya de Sa Bastida;Alaró;0;Castellum;Tardoromà;Mascaró, J.;480850;4396150;0;0;0;1;0;rom,
21;S'Alcadena, Es Claper des Gegants;Alaró;200;Talaiot circular;Talaiòtic;Mascaró, J.;484900;4398250;0;0;1;0;0;tal,
22;Sa Bastida;Alaró;200;Talaiot;Talaiòtic;Aramburu-Zabala, J.;481300;4395700;0;0;1;0;0;tal,
23;Sa penya de ca'n Sec;Alaró;200;Plataforma esglaonada;Talaiòtic;Mascaró, J.;480585;4396850;0;0;1;0;0;tal,
24;Sa Teulera de Can Soler;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;480700;4394700;0;0;0;1;0;rom,
25;Solleric;Alaró;0;Sense estructures visibles;Talaiòtic, romà;J. Aramburu-Zabala;482600;4400200;0;0;1;1;0;tal,rom,
26;Son Antelm;Alaró;0;indet.;Talaiòtic, romà;Llabr‚s Quintana, Gabriel.;482180;4392420;0;0;1;1;0;tal,rom,
27;Son Antelm, Es Claperots;Alaró;200;Talaiot circular;Talaiòtic;Mascaró, J.;482000;4392580;0;0;1;0;0;tal,
28;Son Bergues, Sa Candela;Alaró;0;Restes ciclòpies;Talaiòtic;Mascaró, J.;484150;4397700;0;0;1;0;0;tal,
29;Son Cadena;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;484700;4398100;0;0;0;1;0;rom,
30;Son Cadena;Alaró;0;Sense estructures visibles;Talaiòtic, romà;J. Aramburu-Zabala;484550;4398200;0;0;1;1;0;tal,rom,
31;Son Fiol;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;481450;4392280;0;0;0;1;0;rom,
32;Son Fonoll;Alaró;200;Poblat;Talaiòtic, romà;Llabr‚s Quintana, Gabriel.;483200;4392500;0;0;1;1;0;tal,rom,
33;Son Grau Nou;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;484500;4396550;0;0;0;1;0;rom,
34;Son Grau, Ca'n Peladet;Alaró;200;Talaiot circular;Talaiòtic;Mascaró, J.;484980;4396380;0;0;1;0;0;tal,
35;Son Guitart;Alaró;200;Plataforma esglaonada;Talaiòtic;J. Aramburu-Zabala;480800;4395150;0;0;1;0;0;tal,
36;Son Ordines;Alaró;0;Sense estructures visibles;Talaiòtic, romà;IC;485100;4400580;0;0;1;1;0;tal,rom,
37;Son Ordines, Casa damunt es Sementer;Alaró;0;Sense estructures visibles;Romà;Mascaró, J.;485700;4400920;0;0;0;1;0;rom,
38;Son Palou, Es Picó;Alaró;200;Talaiot quadrat;Talaiòtic;Mascaró, J.;482600;4393100;0;0;1;0;0;tal,
39;Son Perot;Alaró;0;Sense estructures visibles;Romà;J. Aramburu-Zabala;483650;4393150;0;0;0;1;0;rom,
40;Son Perot, Es Bosquets;Alaró;400;Santuari;Talaiòtic, romà;Mascaró, J.;483600;4393000;0;0;1;1;0;tal,rom,
41;Son Perot, Es Coster;Alaró;200;Talaiot quadrat;Talaiòtic;Mascaró, J.;483420;4392800;0;0;1;0;0;tal,
42;Tofla;Alaró;0;Sense estructures visibles;Talaiòtic, romà;IC;486750;4397050;0;0;1;1;0;tal,rom,
