codigo,municipio,zensus_1842,zensus_1857,zensus_1860,zensus_1877,zensus_1887,zensus_1897,zensus_1900,zensus_1910,zensus_1920,zensus_1930,zensus_1940,zensus_1950,zensus_1960,zensus_1970,zensus_1981,zensus_1991,zensus_2001,zensus_2011
34040707001,Alaró,4112,4588,4879,5317,5877,5838,5982,6044,6061,4323,3900,3807,3718,3659,3253,5023,4050,5273
34040707002,Alaior,4722,4605,4282,4982,5163,5070,4909,4992,5073,5013,4891,5082,4978,5217,5656,5027,7108,9450
34040707003,Alcúdia,1120,1563,1500,2294,2645,2726,2711,3050,3405,3592,3977,3565,3465,3969,5395,8016,12500,18914
34040707004,Algaida,2806,3666,3675,3962,4234,4043,4091,4153,4047,4142,3930,3905,3698,3218,2830,3167,3749,5272
34040707005,Andratx,4609,5092,5663,6676,6483,6924,7014,6838,6600,6333,5323,4036,4259,5967,6319,6883,7753,11234
34040707006,Artà,4001,6225,4634,5133,5865,5813,5824,5729,5955,5810,6061,5496,5406,5461,5625,5694,6176,7562
34040707007,Banyalbufar,488,533,550,571,639,720,708,758,881,913,732,667,580,507,492,448,517,559
34040707008,Binissalem,3027,3182,3273,3620,3891,3836,3934,4180,4234,4294,4316,4132,4156,4268,5040,4679,5166,7640
34040707009,Búger,1145,1187,1228,1221,1230,1116,1160,1181,1142,1198,1085,1010,1027,1019,1022,907,950,1014
34040707010,Bunyola,1928,2030,2160,2180,2222,2343,2326,2425,2477,2591,2592,2575,2542,2692,3197,4041,5029,6270
34040707011,Calvià,1875,2308,2457,2644,2598,2561,2559,2664,2610,2693,2719,2277,2960,4235,16897,29078,35977,49807
34040707012,Campanet,2144,2329,2310,2860,2892,2974,2986,3006,3150,3016,2793,2787,2586,2323,2124,2183,2309,2536
34040707013,Campos,3129,4129,3870,4027,4356,4526,4611,4682,5353,6249,6393,6569,6880,6665,6485,6448,6360,9712
34040707014,Capdepera,1447, ,1731,2379,2615,2739,2724,2926,2924,3010,3107,2950,2979,4460,5599,6591,8239,11281
34040707015,Ciutadella de Menorca,7327,7464,7230,7812,8439,8704,8628,9388,9644,10349,10675,11180,12234,15127,17609,20791,23103,29510
34040707016,Consell, , , , , , , , , ,1785,1642,1833,1770,1978,2014,2019,2407,3778
34040707017,Costitx, , ,1735,1334,1318,1160,1310,1316,1304,1273,1155,1065,895,749,688,808,924,1113
34040707018,Deyá,828,748,897,932,969,837,832,728,643,611,537,463,436,397,535,584,654,684
34040707019,Escorca,219,441,299,231,304,341,326,332,303,314,321,359,438,180,213,306,257,258
