# Quelle: Micó Pérez, R., 2005. Cronología absoluta y periodización de la prehistoria des las Islas Baleares, British Archaeological Reports. International Series. Archaeopress, Oxford.
c14ID;site;island;monument;context;county;labcode;bp;std;sample;resource
1;Albufera d'Alcúdia;Mallorca;Sondeo polínico;Z = -19,5m;Alcúdia/Muro;;32790;;Desconocido;Micó 2005, 24
2;Albufera d'Alcúdia;Mallorca;Sondeo polínico;;Alcúdia/Muro;Ua-2732;7060;110;Desconocido;Micó 2005, 25
3;Albufera d'Alcúdia;Mallorca;Sondeo polínico;Ubicación:39°47'33'' N / 3°6'45'' E. Z = -5,45m;Alcúdia/Muro;ETH-11906;6270;70;Desconocido;Micó 2005, 25
4;Albufera d'Alcúdia;Mallorca;Sondeo polínico;Ubicación:39°47'33'' N / 3°6'45'' E. Z = -4,00m;Alcúdia/Muro;ETH-11905;2440;490;Desconocido;Micó 2005, 26
5;Albufera d'Alcúdia;Mallorca;Sondeo polínico;Ubicación:39°47'33'' N / 3°6'45'' E. Z = -3,15m;Alcúdia/Muro;ETH-11904;-108;1;Desconocido;Micó 2005, 26
59;Ca Na Cotxera;Mallorca;Asentamiento al aire libre;Nivel C. Hueso atlas de oveja.;Muro;KIA-17389;3770;30;Hueso fauna doméstica;Micó 2005, 63
60;Ca Na Cotxera;Mallorca;Asentamiento al aire libre;Nivel B según Cantarellas (aunque probablemente del nivel C). Hogar. Testigo 8, z = -62cm.;Muro;Y-5515;3750;100;Carbón;Micó 2005, 64
61;Ca Na Cotxera;Mallorca;Asentamiento al aire libre;Nivel C. Falange de bóvido.;Muro;KIA-17390;3710;25;Hueso fauna doméstica;Micó 2005, 64
84;Can Roig Nou;Mallorca;Asentamiento de estructuras naviformes;Estructura de habitación naviforme. Muestra NL-458;Felanitx;UBAR-391;2310;80;Hueso fauna doméstica;Micó 2005, 80
87;Canyamel;Mallorca;Asentamiento de estructuras naviformes;Estructura B. Cuadrante SW del conjunto doble. Muestra NL-453;Capdepera;UBAR-387;3060;50;Hueso fauna doméstica;Micó 2005, 83
94;Capocorb Vell;Mallorca;Talayot;Talayot cuadrado A. Galería inferior. Viga e soporte conservada. Muestra de anillos exteriores.;Llucmajor;KIA-12697;2775;35;Madera;Micó 2005, 88
96;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 5b. Fosa-hogar bajo losa umbral n° 14. Muestra CG-141.;Felanitx;KIA-11221;3390;30;Carbón;Micó 2005, 91
97;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 5b. Fosa-hogar bajo losa umbral n° 14. Muestra CG-124.;Felanitx;KIA-11223;3340;30;Carbón;Micó 2005, 92
98;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Muestra CG-21;Felanitx;KIA-11222;3245;25;Carbón;Micó 2005, 92
99;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Muestra CG-142;Felanitx;KIA-11224;3200;25;Carbón;Micó 2005, 93
100;Closos de Can Gaiá;Mallorca;Hábitat en piedra;Estructura rectangular de losas ortostáticas. Posible alacén. UE-26. Muestra CG-2085;Felanitx;KIA-11233;3065;35;Hueso fauna doméstica;Micó 2005, 93
101;Closos de Can Gaiá;Mallorca;Hábitat en piedra;Estructura rectangular de losas ortostáticas. Posible alacén. UE-32. Muestra CG-1939;Felanitx;KIA-11241;3040;25;Hueso fauna doméstica;Micó 2005, 94
102;Closos de Can Gaiá;Mallorca;Hábitat en piedra;„Naveta 1“. Nivel 3b. U.E.9. Muestra CG-3398;Felanitx;KIA-11231;2960;25;Hueso fauna doméstica;Micó 2005, 94
103;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 5a. U.E.4, o bien UE 36.;Felanitx;UtC-8145;2926;44;Carbón;Micó 2005, 95
104;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 5a. U.E. 36. Muestra CG-3043.;Felanitx;KIA-11242;2890;35;Hueso fauna doméstica;Micó 2005, 95
105;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 4. U.E. 4 y 5;Felanitx;UtC-8144;2876;39;Carbón;Micó 2005, 96
106;Closos de Can Gaiá;Mallorca;Asentamiento de estructuras naviformes;„Naveta 1“. Nivel 5a. U.E.4 y 5, o bien UE 36.;Felanitx;UtC-8146;2865;41;Carbón;Micó 2005, 96
107;Closos de Can Gaiá;Mallorca;Hábitat en piedra;„Naveta 1“. Nivel 3. UE 34. Muestra CG-1588.;Felanitx;KIA-11232;2790;40;Hueso fauna doméstica;Micó 2005, 97
108;Closos de Can Gaiá;Mallorca;Hábitat en piedra;„Naveta 1“. Nivel 3b. UE 9.;Felanitx;UtC-8141;2775;41;Carbón;Micó 2005, 97
109;Closos de Can Gaiá;Mallorca;Hábitat en piedra;„Naveta 1“. Nivel 3. UE 34. Muestra CG-1317.;Felanitx;KIA-11229;2740;30;Hueso fauna doméstica;Micó 2005, 98
110;Closos de Can Gaiá;Mallorca;Hábitat en piedra;Estructura rectangular de losas ortostáticas. Posible alacén. UE-18. Muestra CG-1147;Felanitx;KIA-11239;2650;25;Hueso fauna doméstica;Micó 2005, 98
111;Closos de Can Gaiá;Mallorca;Indeterminada;Muestra CG-34.;Felanitx;KIA-11219;170;20;Carbón;Micó 2005, 99
